TokenID,Universe Name,Planet Name
222,Halvinaeel Span,Joruiom
223,Veyoii,Corina
224,Aveois,Hessaia
225,Belorath Domain,Sovouund Minor
226,Zeruyr Fold,Nireund
227,Grosteel,Brenuux
228,Beloroion Expanse,Ulmia
229,Kaeluyr,Ivoe Major
230,Myriaav Domain,Vessios
231,Sundaeu Domain,Corinea Minor
232,Orvoom,Coriniiv Vale
233,Aveio,Fyreior
234,Thalo Prime,Keshoin
235,Isareou Realm,Zolai Crest
236,Praxien Expanse,Sovu
237,Juneleoth,Wreneaos
238,Elyu,Zolean
239,Juneluara,Ivaio
240,Nexoien,Xaluiak
241,Isaraeax,Barkaiv
242,Volna Realm,Hessuiol
243,Volnaeith Realm,Wrenouux
244,Isaru Domain,Nirou Hollow
245,Itheleo Sphere,Quenain
246,Grostae Domain,Brenoeom
247,Lomiraune,Joruiol
248,Kaeloi Sphere,Ostoeom
249,Munenais,Ulmoeor
250,Thaliaom Realm,Vesso
251,Thalia,Teva Major
252,Orvaeav Sphere,Dessaoe Major
253,Corvois,Rhalaios
254,Loravo,Sovuiille
255,Aveaeom Fold,Lunaak Hollow
256,Ossaa Expanse,Ferroeor
257,Volneune,Keshea Minor
258,Nexoo,Barkea Major
259,Anthoe,Fyrea
260,Anthiayn,Cosaieth
261,Nexeoune Span,Nire
262,Myraeyn Sphere,Xaloueth
263,Grostu Sphere,Queneak Vale
264,Kestrea Fold,Yethia Hollow
265,Veyoien,Corineaar
266,Corvi Span,Lunoear
267,Loravayn,Brenuiol Spire
268,Lomiruayn Sphere,Graelou Basin
269,Volnaeo,Ferroaille Vale
270,Volnua Prime,Teveaille Spire
271,Beloroio,Barkoux
272,Zeroith Prime,Ulmoeeth
273,Orvio,Coriniar Spire
274,Loravoira Fold,Pavuio
275,Praxaera,Joroeund
276,Ekaro Reach,Ive Minor
277,Sundu,Ivu
278,Anthaeu,Brenuio
279,Nexoie,Graeluor
280,Beloriaune,Brenuian
281,Aveeora,Wrenea
282,Cindra Expanse,Vessui
283,Veyeoom,Brenaiar
284,Ossauith,Rhali Basin
285,Lomiroiu,Maeloe
286,Favenoyr Prime,Lunoin
287,Cindrii,Dharai Reef
288,Beloraa Fold,Graelouiv Reef
289,Thaliaax,Zoloe Major
290,Praxuara,Graelaiar
291,Elye,Brenia
292,Juneleon,Barke Crest
293,Sundeor Prime,Maelaia
294,Munenaea,Barkaios
295,Itheluav Realm,Zolouesh
296,Juneloien,Rhalaiak
297,Munena Realm,Ferroouys
298,Volnira,Ulmu
299,Loravuaom Fold,Yethein
300,Loravia Domain,Soviille Minor
301,Sunduaune,Vessouund Spire
302,Corviith,Xaloe
303,Myru Domain,Hessuiar
304,Sunduay,Xaloos Basin
305,Munenuon,Golui
306,Zeroith Reach,Lunuiol
307,Novara Domain,Kesheaa
308,Novareom,Dessauux
309,Myrae Fold,Vessaom
310,Praxiaax,Hesseaiv Reef
311,Anthei,Keshiesh
312,Juneleith,Maeleaille Reef
313,Anthoa,Breneao
314,Thaluaon,Maeloesh
315,Isareoth,Pavui Basin
316,Ekarua,Ivey
317,Dravoius Fold,Pava Major
318,Aveuaus Fold,Kesho
319,Munenia,Ivui
320,Aveaeus Expanse,Maeluos
321,Beloroon,Keshi Major
322,Corveo,Hessoeo
323,Myreot,Graeluios Major
324,Juneliayn Sphere,Jorou
325,Novareo Sphere,Wrenean
326,Itheleus,Brenoeth
327,Elyaeth,Ostoan
328,Corvaeor Prime,Maelau
329,Cindriax Prime,Dhara Crest
330,Junelia,Ferroe
331,Praxae Expanse,Keshou
332,Grosti Domain,Barkiar
333,Veyeoith Domain,Luneaor
334,Lomiriis,Sovoeund Spire
335,Isareel Reach,Ulmaie Minor
336,Anthuom Expanse,Yethuiund Crest
337,Kaeler,Taroee
338,Halvinuae,Barki Basin
339,Halvineo,Taraieth Reef
340,Aveeth,Pavu
341,Munenoav Sphere,Hessoos
342,Praxoor,Sovoei
343,Thalara,Vessoar
344,Cindruax,Niroi
345,Ossaiaen,Barka
346,Kestriyr,Golaom Minor
347,Grostuus,Paveille
348,Halvinoa,Corinoor
349,Corviax Span,Niraille Minor
350,Kestreen Prime,Keshouu Spire
351,Cindrot,Lunoor
352,Corviav,Sovoeux
353,Veyeoith,Keshuios
354,Ithele Reach,Ulmuar
355,Ithela Prime,Graelaieth
356,Cindroir,Hessaille
357,Orva Realm,Joru
358,Beloriu,Xali Minor
359,Cindruus,Zoleund
360,Aveea,Ferroeaak
361,Lomiroira,Yethe Crest
362,Elyi,Teve Basin
363,Isaree Fold,Maeliu
364,Juneliaor,Cosuieth
365,Ithelora Prime,Fyreuiv Crest
366,Lomiraeith,Yethoean
367,Veyaeav,Jorai
368,Myraeor Expanse,Rhale
369,Volnaea,Goloe Spire
370,Beloruaus,Dharoeux Basin
371,Isaruav,Sovaiin Reef
372,Cindraeo,Graeleiv
373,Munenuaa Span,Graelean
374,Munena Domain,Golouu
375,Munenae Prime,Dessaa Spire
376,Zeroune,Keshoe
377,Elyoior Span,Zolua
378,Sundera Domain,Keshao Crest
379,Veyeo Prime,Barkeaiv
380,Ossaeo Span,Jorain Crest
381,Isaroien,Dharii
382,Grostaax,Dharou
383,Veyae Prime,Keshua
384,Orvae,Yethea
385,Anthaon,Ivouys
386,Beloruav,Yethou
387,Kaeliaen,Barkuan
388,Corvi,Ulmoe Minor
389,Praxion,Niraiesh
390,Orveoen,Cosa
391,Lomiroi Expanse,Dharoeux
392,Aveuen,Taraiu
393,Myree,Sovein
394,Orvuen,Keshu Hollow
395,Corviao Expanse,Lunoee
396,Aveu Reach,Zolaund Spire
397,Thaloi Sphere,Keshouos
398,Praxeel,Xaliin
399,Kestriais Span,Goloan
400,Lomirea,Keshi
401,Anthaax,Lunaiiv
402,Loravu,Quenoak
403,Junelois,Ostaiv
404,Halvino,Quenu
405,Kaeli Span,Zoloei
406,Loraveyr,Barkuii
407,Nexeou,Xala Vale
408,Veyoiis Span,Vessea
409,Munenaith,Maelui Crest
410,Junelaax Prime,Maeliiv Hollow
411,Zeru,Corinuan Crest
412,Orvei,Pavui Hollow
413,Ossaura,Hesse
414,Cindraey,Yethoeos
415,Praxoi,Goluiux Major
416,Orvu Reach,Brenuund
417,Myraom Span,Cosouom
418,Ossaius Domain,Rhali Minor
419,Isara,Joruo
420,Novaroi,Wrenee
421,Halvinuav,Vessoom Basin
422,Aveous Realm,Ferroeays
423,Ekaruax,Taruux
424,Volnae,Tevaux Reef
425,Itheleom,Maelea
426,Grostiaor,Graelouu
427,Corvaer,Dessauys
428,Isareoon,Vessoe
429,Belori,Ferroouo
430,Anthien,Fyreo Reef
431,Novariais,Queneaos
432,Elyeoune Realm,Pavou Hollow
433,Faveniayn,Dessaeaom
434,Veyiyr,Ferrooan
435,Halvineo Span,Dessaaak
436,Aveoav Realm,Ferroouille
437,Lomiraeus,Pavaiol
438,Corvaus,Goloe Hollow
439,Ossaaon,Golouak
440,Ossaayn,Yethaund
441,Muneneoon Sphere,Sovuar
442,Corvoii,Tarouund
443,Volnoiel,Niru Crest
444,Orvuaor,Maela
445,Corveo Prime,Barkuior
446,Nexoe,Dessae Minor
447,Veyiaa,Paveaos Hollow
448,Dravua Sphere,Keshuieth Vale
449,Grosteith,Coriniom
450,Aveoius,Corinaiar
451,Novara Realm,Hesseays
452,Volnoii,Sovoo
453,Ekaruayr,Xaliiv Vale
454,Orvera,Barkoiv
455,Veyoiith,Dhareaund
456,Beloruth,Jorai Major
457,Groste,Hessieth
458,Zeriai,Sovea
459,Drave Fold,Brenuiesh Reef
460,Belore Expanse,Hessui
461,Aveoy,Joro Reef
462,Anthoyr Reach,Pavea Basin
463,Juneloy,Paveom Crest
464,Juneloi Expanse,Yethiiv
465,Ithelia Sphere,Pave Reef
466,Corvae Span,Keshaiund
467,Beloraeus,Barkuie Hollow
468,Loravael,Dessaouak
469,Novaraeth,Corinaii Reef
470,Isarais,Tarii
471,Halvinaeo,Quenior
472,Loravoy,Tevoui
473,Nexeoith Prime,Ulmuii
474,Nexaei,Vessaieth Hollow
475,Kaeloor,Yethuiu Hollow
476,Elyae Reach,Dhareesh
477,Kaelura,Pavi Basin
478,Cindru Sphere,Ferroui Vale
479,Nexiaith Expanse,Tevouin
480,Favenaeus,Tevu
481,Lomiro Realm,Cosio
482,Dravua Expanse,Ferrooys
483,Ossaui,Dhareao
484,Volniar,Cosuio Crest
485,Kestroith Span,Cosue Major
486,Lomiria,Maelaan
487,Novaria Span,Ferroeay
488,Beloreoune,Niroille Hollow
489,Ithelaeis Domain,Paveaor
490,Elyua Sphere,Vessaak Minor
491,Halvineoth,Pavoeille
492,Kaeliune,Joroeor
493,Ithele Fold,Jorea
494,Favenae Realm,Barkoille Spire
495,Novaruo Realm,Goluiom
496,Elyaom,Keshaiiv
497,Halvinoie,Xalaux
498,Novarera,Dessaui
499,Cindriu,Pavaund
500,Lomireora,Cosaiille
501,Novaroen Prime,Ferroa Crest
502,Nexael Fold,Ferrooa
503,Anthaith Domain,Fyreou Reef
504,Halvinuy,Ivou Vale
505,Anthayn Expanse,Niroeu
506,Loravaor,Yethiol
507,Isarae Fold,Hessouar
508,Thaluon,Ostaom Crest
509,Anthoi Span,Quenea Minor
510,Elyayn,Jorui Major
511,Sundiaom,Zoliiv
512,Novaria Domain,Vessaiille Reef
513,Cindriune,Pavai
514,Lomiriae Expanse,Cosouos
515,Loravu Realm,Nireays
516,Grostuaith,Rhalieth Reef
517,Orvath,Maeloux Vale
518,Aveeo Domain,Wrenieth Spire
519,Munenuaith,Nirays
520,Beloraeax,Vesseae
521,Isaruae,Sovuux
522,Beloroyn,Dessaou Vale
523,Zeroio,Brenaos
524,Ithelua Realm,Zola Reef
525,Thaloiav,Sova Crest
526,Loravuael,Xaleaund
527,Ossao Sphere,Keshou Basin
528,Corveav Reach,Fyreu Basin
529,Novariune,Yethuund Vale
530,Sundua Realm,Rhaloys
531,Veye Domain,Brenouo
532,Nexaeyr Domain,Corino Reef
533,Anthi Sphere,Xale
534,Ossaoth Span,Wreneain
535,Beloroy,Teva Reef
536,Loravaeav,Wrenuiiv
537,Munenuaom,Dhara Major
538,Favena,Fyreaios Minor
539,Anthuae,Breneain Basin
540,Elyaune,Ulmuii Spire
541,Novaroii,Jore Vale
542,Halviniae,Cosaos
543,Ossao Span,Barkoeys
544,Juneluaom,Ostai Reef
545,Dravia Sphere,Breneo
546,Kaeleoel,Zolio
547,Halvineo Domain,Ostiar
548,Lomiruau,Zolea Vale
549,Juneli Expanse,Ferroouiv
550,Aveia Span,Quenaol
551,Kestroav,Ferrooei
552,Thali,Corino Hollow
553,Aveara,Tevouille
554,Novaro Reach,Brenie Crest
555,Thalion,Vessaille
556,Lomiruaav,Barkuiom
557,Sundiayr,Vesso Vale
558,Dravae Expanse,Jorouor
559,Muneniath,Luna
560,Thalaon,Coriniys
561,Munenaeen Prime,Lunoak Crest
562,Orvaeav,Tarou
563,Cindroo,Rhaloille
564,Aveuo,Paveaiv
565,Ossaaeus,Joraol Basin
566,Lomirey Realm,Fyreaian Crest
567,Zeruai,Maeleaa
568,Ossaet,Rhaliiv
569,Corvoiy,Coseaol
570,Dravaor,Maeloa
571,Myrae Reach,Pavuiys
572,Favenaeo,Dharui Vale
573,Beloru Reach,Brenou Crest
574,Lomireoom,Keshaiak
575,Veya,Ostaia
576,Isareo Expanse,Dessaouos
577,Elyius,Dessauia Major
578,Beloreo,Xaleaeth
579,Lomirae,Ferroui Hollow
580,Elyeoax,Maeleeth
581,Muneneoth,Cosiar
582,Beloraune,Keshaiol
583,Kestriaor Sphere,Wrenoy Vale
584,Thaloi Reach,Maelaux
585,Novaroio Span,Rhale Basin
586,Zeraune,Golui Crest
587,Beloreous,Vessoa
588,Orvui,Dharound
589,Volnoio Prime,Corinoux Spire
590,Grostua Expanse,Ostaia Spire
591,Kaelaei,Maelouys Minor
592,Munenur,Xalouund
593,Ekaraeune,Ulmoille
594,Anthuom,Dessaaesh
595,Juneliaus,Rhale Spire
596,Novaroio Sphere,Ivao
597,Aveaeor,Ivouin Minor
598,Ithelaom,Lunui Minor
599,Dravoiax,Hessu Vale
600,Ithelaeen Span,Yethouo
601,Belorius,Tareaille
602,Zeriayr,Barkui Basin
603,Novarais Reach,Ivoesh
604,Isarira Sphere,Maeloar
605,Sundeoel,Paveaa
606,Junelua Expanse,Corinoux
607,Beloriael,Quenouux
608,Junelae Fold,Sovays
609,Halvino Prime,Wrenouille
610,Elyeav,Osteille
611,Dravaeus,Ostouos
612,Grostuom,Quenaie
613,Praxuaus,Quenouo
614,Itheloio,Ostaar
615,Junelia Sphere,Hessian
616,Nexe Fold,Rhaluux
617,Corvoiy Fold,Brenuiund
618,Loraveoel,Quenouos Vale
619,Cindra,Brenee
620,Beloroie,Ive Vale
621,Sundiaus,Ivi Major
622,Nexael Span,Niruin
623,Ossaiaus Sphere,Ulmoear
624,Kaela,Lunouak
625,Elyua Fold,Nirui Hollow
626,Loravuaus,Graeloeeth
627,Kaeleo Prime,Rhaloe
628,Beloroiu,Corinueth
629,Ekarayr,Xaliar
630,Faveneith,Barkeo
631,Nexu Prime,Ferroe Vale
632,Thaliel,Ive
633,Sundi,Vessear
634,Draveor,Pavaol
635,Aveeous,Jorea Hollow
636,Ossaoyr,Dharieth
637,Ekarua Expanse,Ferroa Vale
638,Lomiraeon,Joraie
639,Praxa Prime,Dessaeae Hollow
640,Grosteoa,Cosool
641,Ithelaith,Golea Minor
642,Corviaom,Graeluund
643,Dravei Prime,Tariys Reef
644,Grostius,Brenoeos
645,Isaroi Domain,Dessaoe Reef
646,Lomireoe,Lunuiom
647,Praxuel Realm,Dharaille Minor
648,Volneoon,Paviar
649,Lomiraeis,Tevuar Spire
650,Lomirith,Keshui Reef
651,Loravuayn Realm,Maeleay
652,Corvui,Tevio Vale
653,Corvo Realm,Quenuii Basin
654,Ithelo Realm,Tareille
655,Itheluus,Joruak Minor
656,Aveiat Prime,Osteaille
657,Grostais,Brenuia Crest
658,Novaruael Span,Cosoeeth Vale
659,Beloroia,Dessaaieth
660,Itheluom,Pavaiiv Spire
661,Beloroi Fold,Paveaar
662,Cindreom,Osta Vale
663,Ithelaa,Dessaoeesh
664,Loravia Fold,Yethai
665,Myroius,Fyreei
666,Corvuis,Joruom
667,Isarael,Quenaiys
668,Orviaon,Dharia
669,Anthi Expanse,Sovou Hollow
670,Sundeoa,Graeloein
671,Ossaa Sphere,Ferroain
672,Ithelo Reach,Corinouol
673,Isaro,Teve Hollow
674,Beloruu,Fyreaie
675,Lomiroiom Realm,Paveille Basin
676,Dravou,Rhaloe Spire
677,Praxaeis,Zoluiy
678,Veyi Domain,Xaleaol
679,Beloreou Sphere,Brenoe Reef
680,Ekaru,Dessaaos
681,Volneoen,Xalaund
682,Zeruaus,Graeleaom
683,Thaleoel,Rhalouo
684,Lomiriu,Tevaiar Minor
685,Kestroi,Tevaian
686,Praxuyr,Ostoeille
687,Corvit,Vesseaom
688,Aveeo Reach,Cosea Major
689,Belorua,Tareiv
690,Orveo Span,Ostoesh
691,Nexoel,Sovaeth
692,Myraeax Prime,Lunai Major
693,Junelara Expanse,Graeloak
694,Lomiriel Reach,Fyreuak
695,Faveneoel Reach,Lunea Major
696,Orvia Prime,Dessaaiin Hollow
697,Anthuaa,Rhaliille
698,Zeraet Span,Ferroiund
699,Orviaen,Ferroai
700,Aveoith,Soviak
701,Kestria,Tevoak
702,Ekaraeav Fold,Keshios
703,Isaraeel Fold,Vessaak
704,Thalius,Corinoan
705,Myro,Fyreoei
706,Cindroio,Dessaoux Spire
707,Itheliayr,Dessaoesh
708,Halvinuel,Rhaluiesh Spire
709,Junelaeel,Zolui Major
710,Elyai,Cosuys
711,Thaleo Realm,Quenaan
712,Praxeo Domain,Maeluiv
713,Praxeen,Rhalo Minor
714,Nexuai,Kesheaar
715,Halvineon,Sovoak
716,Favenayn Realm,Corineai
717,Thali Sphere,Barko Vale
718,Veyoune,Hessoo Vale
719,Praxiat,Ferrooear
720,Ossaoi,Maelaom
721,Aveith,Rhaluie Vale
722,Beloriis Domain,Soveaund
723,Munenia Expanse,Lunuiesh
724,Dravoior,Ulmoean Minor
725,Corvaeus,Teveu
726,Muneneoy,Dharaar
727,Lomirais,Zoleor
728,Corvae Prime,Ferroiiv
729,Munenuara,Joroeak
730,Junelua Span,Dessaa
731,Favenaen,Sovai Crest
732,Sundiaith Sphere,Quenoi Reef
733,Orveois Sphere,Ivaios
734,Thaliyr,Coseaund
735,Ossaoel,Dessaai Basin
736,Ossaeoom,Vessoeol
737,Cindreoo,Rhalios
738,Isareax,Vessaiille
739,Orva Span,Pavoeth
740,Cindreo Domain,Wrenoi Basin
741,Myrua Fold,Joreille
742,Kestrou Prime,Rhale Reef
743,Grostuon,Brenuios
744,Itheloi Domain,Barkie
745,Zeroiel Domain,Dharuund
746,Corvuor Span,Yethoeeth
747,Aveion,Xaleaar Vale
748,Volnaeus,Corinaa
749,Kestrei,Dessaouar Spire
750,Kaeloth Realm,Breni Minor
751,Anthuis,Graeloo
752,Dravayn,Fyreay
753,Nexiael,Barkeaor
754,Aveuau,Ulmeaesh
755,Junelo Fold,Breneaeth
756,Thale Realm,Brenouund
757,Beloreoo,Tarea
758,Juneliyn,Jore Crest
759,Veyoion Sphere,Ulmeaos
760,Itheliaav,Ostuiux Crest
761,Juneliael,Keshuiiv Minor
762,Isariy Span,Yethou Hollow
763,Myraeyr Realm,Joroys
764,Volnea Sphere,Breneaiv Hollow
765,Ossauara Expanse,Joriar
766,Antha Domain,Quenaund Basin
767,Isaroth Domain,Barkoo
768,Zereoa,Tarui Vale
769,Sundo,Graeloor
770,Sunda,Niround
771,Favene Sphere,Joree
772,Elyae Expanse,Brenui Spire
773,Halvinuyr,Zolouol Crest
774,Itheloien,Rhalaos Crest
775,Novaroius,Ulmea Hollow
776,Thalaith,Tara Basin
777,Zereyn,Maeloille
778,Nexuaom,Keshaak
779,Novaru Realm,Cosue
780,Belora Realm,Niraia
781,Thaluayn,Ostaiesh
782,Corvoith Realm,Ostea Crest
783,Nexuax,Wrena Spire
784,Kestroor,Paviux Crest
785,Thalae,Ulmuak
786,Itheluth Realm,Zoloeu Vale
787,Novarua Domain,Zoluos
788,Elyia Fold,Dharie
789,Volnaeth,Fyreoee
790,Munenath,Xale Reef
791,Thaluae,Quenu Vale
792,Myri Reach,Sovuiys Hollow
793,Novarois Fold,Coseaos Spire
794,Kestria Expanse,Corinai
795,Belorora,Ferroouund Basin
796,Novareo,Ferrooys Reef
797,Volniael,Rhaleor
798,Antho Realm,Dharo
799,Juneleoax Prime,Luneai
800,Kestruath Expanse,Hessea Hollow
801,Lomiroio,Zola Minor
802,Ossaayn Prime,Rhalaiar Reef
803,Halvinu,Joruia
804,Kestra Expanse,Ulmeaar Reef
805,Zeruus,Dessaaund Hollow
806,Ossau,Niro
807,Munenoio,Barkoi
808,Novariayr,Zoloee
809,Orvaeyn Realm,Quenoe Spire
810,Muneni Domain,Brenuin
811,Juneliy,Ferrooe Basin
812,Anthaeom Sphere,Nirie Vale
813,Kaelois,Pavoeund
814,Lomiraer,Graeloua Major
815,Novaroel Fold,Dharuys
816,Isareoyn,Goloear
817,Zerera Fold,Dhariom
818,Halvineo Sphere,Ostaiol Minor
819,Thaluor Expanse,Xaluiom
820,Kestrath,Nirea Basin
821,Novaruayn Prime,Rhale Minor
822,Zera Realm,Wrenaiol
823,Dravoor,Brenui Reef
824,Junelu Fold,Golaior
825,Sunduael,Ivouos
826,Ekaruu Expanse,Corinaiesh Hollow
827,Myro Realm,Dessaoille
828,Halvinuith,Nirao
829,Myreoa,Maeliux Hollow
830,Grostiais,Zoloeiv
831,Aveuaor,Kesheaille Minor
832,Halvinuai,Dharue
833,Munenua Realm,Corini
834,Thala,Fyreuian
835,Volnua Sphere,Joroeux
836,Thaleoax,Ulme
837,Lomiriara Prime,Golian
838,Veyeoy,Queneaesh
839,Junelai Expanse,Xaleaux Crest
840,Volnaeyn,Sovo Hollow
841,Anthae,Ivai Vale
842,Dravoiyn,Yethaiys
843,Antho Reach,Vessaiar
844,Zeruaax Reach,Fyreeaak Major
845,Grostoiel,Ulmior Reef
846,Kaelaen,Luna Minor
847,Volnuael,Pavouesh
848,Lomiruayr,Ostuiu Basin
849,Anthe,Osta Hollow
850,Praxia Realm,Cosian
851,Praxuith,Wreno Hollow
852,Thaloyr,Wrenouom
853,Ossaiae,Pavoe
854,Halvinaeune,Zoluu Minor
